Time: 2025-02-20 15:20:27, FPS: 21, Objects Detected: 1
Time: 2025-02-20 15:20:27, FPS: 20, Objects Detected: 1
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 4
Time: 2025-02-20 15:20:28, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:28, FPS: 20, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:28, FPS: 16, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 19, Objects Detected: 4
Time: 2025-02-20 15:20:28, FPS: 17, Objects Detected: 4
Time: 2025-02-20 15:20:28, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:28, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 17, Objects Detected: 4
Time: 2025-02-20 15:20:28, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:28, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:28, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:28, FPS: 11, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:29, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:29, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:29, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:30, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 16, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:30, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 19, Objects Detected: 4
Time: 2025-02-20 15:20:30, FPS: 11, Objects Detected: 4
Time: 2025-02-20 15:20:30, FPS: 20, Objects Detected: 4
Time: 2025-02-20 15:20:30, FPS: 17, Objects Detected: 4
Time: 2025-02-20 15:20:30, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 18, Objects Detected: 3
